Accession,Strain,Genus,Geo_Location,Host,Animal,Family,Year,Bat_host
F_MIZ141_RR034B_198_NODE_4_length_6593_cov_808.543744 - RdRp,Bat astrovirus,Mamastrovirus,Madagascar,Rousettus madagascariensis,Bat,Pteropidae,2018,1
F_MIZ141_RR034B_198_NODE_5_length_6456_cov_49.595532- RdRp,Bat astrovirus,Mamastrovirus,Madagascar,Rousettus madagascariensis,Bat,Pteropidae,2018,1
MN832787 - RdRp,Bat astrovirus,Mamastrovirus,Denmark,Myotis daubentonii,Bat,Vespertillionidae,2014,1
MT734809 - RdRp,Bat astrovirus,Mamastrovirus,USA,Chiroptera,Bat,Unknown,2020,1
NC_001943 - RdRp,Human astrovirus,Mamastrovirus,Unknown,Homo sapiens,Human,Hominidae,,0
NC_002469 - RdRp,Mamastrovirus 13,Mamastrovirus,Unknown,Ovis aries,Sheep,Bovidae,,0
NC_002470 - RdRp,Turkey astrovirus,Avastrovirus,Unknown,Meleagris gallopavo,Turkey,Phasianidae,,0
NC_004579 - RdRp,Mamastrovirus 10,Mamastrovirus,Unknown,Unknown,Unknown,Unknown,,0
NC_011400 - RdRp,Astrovirus MLB1,Mamastrovirus,Australia,Unknown,Unknown,Unknown,1999,0
NC_013060 - RdRp,Mamastrovirus 9,Mamastrovirus,USA,Homo sapiens,Human,Hominidae,2008,0
NC_013443 - RdRp,HMO Astrovirus A,Mamastrovirus,Nigeria,Homo sapiens,Human,Hominidae,2007,0
NC_015935 - RdRp,Mouse astrovirus M-52/USA/2008,Mamastrovirus,USA,Mus musculus,Mouse,Muridae,2008,0
NC_016155 - RdRp,Astrovirus MLB2,Mamastrovirus,USA,Homo sapiens,Human,Hominidae,2008,0
NC_016896 - RdRp,Astrovirus wild boar/WBAstV-1/2011/HUN,Mamastrovirus,Hungary,Sus scrofa,Boar,Suidae,2011,0
NC_018702 - RdRp,Murine astrovirus,Mamastrovirus,USA,Mouse,Mouse,Muridae,2011,0
NC_019026 - RdRp,Astrovirus VA3,Mamastrovirus,India,Homo sapiens,Human,Hominidae,2005,0
NC_019027 - RdRp,Astrovirus VA4,Mamastrovirus,Nepal,Homo sapiens,Human,Hominidae,2008,0
NC_019028 - RdRp,Astrovirus MLB3,Mamastrovirus,India,Homo sapiens,Human,Hominidae,2004,0
NC_019494 - RdRp,Porcine astrovirus 3,Mamastrovirus,USA,Sus scrofa,Boar,Suidae,2011,0
NC_022249 - RdRp,Feline astrovirus 2,Mamastrovirus,Hong Kong,Felis catus,Cat,Felidae,2012,0
NC_023629 - RdRp,Bovine astrovirus B76/HK,Mamastrovirus,Hong Kong,Bos taurus,Cow,Bovidae,,0
NC_023630 - RdRp,Bovine astrovirus B76-2/HK,Mamastrovirus,Hong Kong,Bos taurus,Cow,Bovidae,,0
NC_023631 - RdRp,Bovine astrovirus B18/HK,Mamastrovirus,Hong Kong,Bos taurus,Cow,Bovidae,,0
NC_023632 - RdRp,Bovine astrovirus B170/HK,Mamastrovirus,Hong Kong,Bos taurus,Cow,Bovidae,,0
NC_023636 - RdRp,Porcine astrovirus 5,Mamastrovirus,USA,Sus scrofa,Boar,Suidae,2011,0
NC_023674 - RdRp,Porcine astrovirus 2,Mamastrovirus,USA,Sus scrofa,Boar,Suidae,2010,0
NC_023675 - RdRp,Porcine astrovirus 4,Mamastrovirus,USA,Sus scrofa,Boar,Suidae,2010,0
NC_024297 - RdRp,Bovine astrovirus,Mamastrovirus,China,Bos taurus,Cow,Bovidae,2014,0
NC_024472 - RdRp,Burkina Faso astrovirus,Mamastrovirus,Burkina Faso,Homo sapiens,Human,Hominidae,2010,0
NC_024498 - RdRp,Bovine astrovirus CH13,Mamastrovirus,Switzerland,Bos taurus,Cow,Bovidae,2012,0
NC_024701 - RdRp,Mamastrovirus 2,Mamastrovirus,USA,Felis catus,Cat,Felidae,2013,0
NC_025346 - RdRp,Rabbit astrovirus TN/2208/2010,Mamastrovirus,USA,Oryctolagus cuniculus,Rabbit,Leproidae,2010,0
NC_025379 - RdRp,Mamastrovirus 3,Mamastrovirus,China: Guangxi,Sus scrofa,Boar,Suidae,2013,0
NC_026814 - RdRp,Canine astrovirus,Mamastrovirus,United Kingdom,Unknown,Dog,Canidae,2012,0
NC_027711 - RdRp,Dromedary astrovirus,Mamastrovirus,United Arab Emirates,Camelus dromedarius,Camel,Camelidae,2013,0
NC_030922 - RdRp,Mamastrovirus 1,Mamastrovirus,India:Kolkata,Unknown,Unknown,Unknown,2004,0
NC_033792 - RdRp,Qinghai Himalayan marmot astrovirus 1,Mamastrovirus,China,Marmota himalayana,Marmot,Sciuridae,2014,0
NC_033821 - RdRp,Qinghai Himalayan marmot astrovirus 2,Mamastrovirus,China,Marmota himalayana,Marmot,Sciuridae,2014,0
NC_034974 - RdRp,Mamastrovirus 2,Mamastrovirus,Kenya,Sus scrofa,Boar,Suidae,2012,0
NC_036583 - RdRp,Rodent astrovirus,Mamastrovirus,China,Rattus norvegicus,Rat,Muridae,,0
NC_037655 - RdRp,Sichuan takin astrovirus,Mamastrovirus,China,Budorcas taxicolor tibetana,Takin,Bovidae,2013,0