czb_id,sampleid,sample_type,Ast,roost_site,latitude_s,longitude_e,collection_date,species,bat_sex,unique_tag_id,recap,bat_age_class,young_of_year
RR034B_016_fecRa,AMB137,feces,1,Ambakoana,-18.513,48.1665,3/1/18,Pteropus rufus,female,1346,no,J,yes
RR034B_130_fecRa,KEL200,feces,1,AngavoKely,-18.9327,47.7578,4/10/18,Eidolon dupreanum,female,1036,no,NL,no
RR034B_189_fecRa,KEL272,feces,0,AngavoKely,-18.9327,47.7578,1/7/19,Eidolon dupreanum,male,1620,no,A,no
RR034B_190_fecRa,KEL273,feces,0,AngavoKely,-18.9327,47.7578,1/7/19,Eidolon dupreanum,male,977,yes,A,no
RR034B_198_fecRa,MIZ141,feces,1,Maromizaha,-18.9623,48.4525,2/18/18,Rousettus madagascariensis,male,M6,no,J,yes
RR034B_379_uaRa,KEL236,urine,1,AngavoKely,-18.9327,47.7578,7/27/18,Eidolon dupreanum,male,987,no,J,
RR034B_390_uaRa,KEL272B,urine,0,AngavoKely,-18.9327,47.7578,3/14/19,Eidolon dupreanum,female,393,no,NL,
RR034B_393_uaRa,KEL275B,urine,1,AngavoKely,-18.9327,47.7578,3/14/19,Eidolon dupreanum,female,388,no,NL,
RR034B_400_uaRa,KEL283B,urine,1,AngavoKely,-18.9327,47.7578,3/14/19,Eidolon dupreanum,female,9.56E+14,yes,NL,
RR034B_401_uaRa,KEL285,urine,1,AngavoKely,-18.9327,47.7578,2/5/19,Eidolon dupreanum,male,9.56E+14,yes,A,
RR034B_403_uaRa,KEL286B,urine,1,AngavoKely,-18.9327,47.7578,3/15/19,Eidolon dupreanum,female,1007,no,NL,
RR034B_406_uaRa,KEL290,urine,1,AngavoKely,-18.9327,47.7578,2/6/19,Eidolon dupreanum,male,1650,no,A,
RR034B_414_uaRa,KEL299B,urine,1,AngavoKely,-18.9327,47.7578,3/15/19,Eidolon dupreanum,female,1003,no,NL,
RR034B_496_uaRa,MIZ408,urine,1,Maromizaha,-18.9623,48.4525,4/9/19,Rousettus madagascariensis,male,,no,A,
RR034B_002_fecRa,AMB122,feces,0,Ambakoana,-18.513,48.1665,2/23/18,Pteropus rufus,male,442,no,A,no
RR034B_003_fecRa,AMB123,feces,0,Ambakoana,-18.513,48.1665,2/23/18,Pteropus rufus,male,500,no,A,no
RR034B_004_fecRa,AMB124,feces,0,Ambakoana,-18.513,48.1665,2/23/18,Pteropus rufus,female,1333,no,NL,yes
RR034B_006_fecRa,AMB126,feces,0,Ambakoana,-18.513,48.1665,2/24/18,Pteropus rufus,male,1335,no,A,no
RR034B_007_fecRa,AMB127,feces,0,Ambakoana,-18.513,48.1665,2/24/18,Pteropus rufus,female,1336,no,NL,yes
RR034B_008_fecRa,AMB128,feces,0,Ambakoana,-18.513,48.1665,2/25/18,Pteropus rufus,female,1337,no,NL,yes
RR034B_008_fecRb,AMB128,feces,0,Ambakoana,-18.513,48.1665,2/25/18,Pteropus rufus,female,1337,no,NL,yes
RR034B_009_fecRa,AMB129,feces,0,Ambakoana,-18.513,48.1665,2/25/18,Pteropus rufus,male,1338,no,A,no
RR034B_010_fecRa,AMB130,feces,0,Ambakoana,-18.513,48.1665,2/26/18,Pteropus rufus,female,1339,no,NL,no
RR034B_011_fecRa,AMB131,feces,0,Ambakoana,-18.513,48.1665,2/27/18,Pteropus rufus,female,1340,no,NL,no
RR034B_012_fecRa,AMB132,feces,0,Ambakoana,-18.513,48.1665,2/28/18,Pteropus rufus,male,1341,no,A,no
RR034B_013_fecRa,AMB133,feces,0,Ambakoana,-18.513,48.1665,2/28/18,Pteropus rufus,male,1342,no,J,yes
RR034B_014_fecRa,AMB134,feces,0,Ambakoana,-18.513,48.1665,3/1/18,Pteropus rufus,male,1343,no,A,no
RR034B_015_fecRa,AMB135,feces,0,Ambakoana,-18.513,48.1665,3/1/18,Pteropus rufus,male,1344,no,A,no
RR034B_017_fecRa,AMB138,feces,0,Ambakoana,-18.513,48.1665,3/2/18,Pteropus rufus,male,1347,no,A,no
RR034B_018_fecRa,AMB139,feces,0,Ambakoana,-18.513,48.1665,3/2/18,Pteropus rufus,male,1348,no,A,no
RR034B_019_fecRa,AMB140,feces,0,Ambakoana,-18.513,48.1665,4/16/18,Pteropus rufus,female,1349,no,J,yes
RR034B_020_fecRa,AMB141,feces,0,Ambakoana,-18.513,48.1665,4/16/18,Pteropus rufus,male,1350,no,A,no
RR034B_021_fecRa,AMB142,feces,0,Ambakoana,-18.513,48.1665,4/17/18,Pteropus rufus,male,1351,no,J,yes
RR034B_022_fecRa,AMB143,feces,0,Ambakoana,-18.513,48.1665,4/17/18,Pteropus rufus,male,1352,no,A,no
RR034B_023_fecRa,AMB144,feces,0,Ambakoana,-18.513,48.1665,4/17/18,Pteropus rufus,male,1353,no,J,yes
RR034B_024_fecRa,AMB145,feces,0,Ambakoana,-18.513,48.1665,4/18/18,Pteropus rufus,male,1354,no,A,no
RR034B_025_fecRa,AMB146,feces,0,Ambakoana,-18.513,48.1665,4/19/18,Pteropus rufus,male,1355,no,J,yes
RR034B_026_fecRa,AMB147,feces,0,Ambakoana,-18.513,48.1665,4/21/18,Pteropus rufus,male,1356,no,A,no
RR034B_028_fecRa,AMB149,feces,0,Ambakoana,-18.513,48.1665,8/5/18,Pteropus rufus,female,1359,no,NL,no
RR034B_029_fecRa,AMB150,feces,0,Ambakoana,-18.513,48.1665,8/6/18,Pteropus rufus,male,1360,no,A,no
RR034B_030_fecRa,AMB151,feces,0,Ambakoana,-18.513,48.1665,8/7/18,Pteropus rufus,male,1361,no,A,no
RR034B_031_fecRa,AMB152,feces,0,Ambakoana,-18.513,48.1665,8/7/18,Pteropus rufus,male,1362,no,A,no
RR034B_032_fecRa,AMB153,feces,0,Ambakoana,-18.513,48.1665,8/7/18,Pteropus rufus,male,1363,no,J,yes
RR034B_033_fecRa,AMB154,feces,0,Ambakoana,-18.513,48.1665,8/7/18,Pteropus rufus,female,1364,no,J,yes
RR034B_034_fecRa,AMB155,feces,0,Ambakoana,-18.513,48.1665,8/8/18,Pteropus rufus,female,1365,no,NL,no
RR034B_035_fecRa,AMB156,feces,0,Ambakoana,-18.513,48.1665,12/21/18,Pteropus rufus,female,1372,no,L,no
RR034B_036_fecRa,AMB157,feces,0,Ambakoana,-18.513,48.1665,12/24/18,Pteropus rufus,male,1373,no,A,no
RR034B_037_fecRa,AMB158,feces,0,Ambakoana,-18.513,48.1665,1/6/19,Pteropus rufus,male,1374,no,A,no
RR034B_038_fecRa,AMB159,feces,0,Ambakoana,-18.513,48.1665,1/6/19,Pteropus rufus,female,1375,no,A,no
RR034B_039_fecRa,AMB160,feces,0,Ambakoana,-18.513,48.1665,1/7/19,Pteropus rufus,female,1376,no,A,no
RR034B_040_fecRa,ANGB125,feces,0,AngavoBe,-18.944,47.9491,2/14/18,Eidolon dupreanum,male,1100,no,A,no
RR034B_042_fecRa,ANGB127,feces,0,AngavoBe,-18.944,47.9491,2/14/18,Eidolon dupreanum,male,1098,no,A,no
RR034B_043_fecRa,ANGB128,feces,0,AngavoBe,-18.944,47.9491,2/14/18,Eidolon dupreanum,male,1097,no,A,no
RR034B_044_fecRa,ANGB129,feces,0,AngavoBe,-18.944,47.9491,2/14/18,Eidolon dupreanum,female,1096,no,NL,no
RR034B_045_fecRa,ANGB130,feces,0,AngavoBe,-18.944,47.9491,2/14/18,Eidolon dupreanum,female,,no,NL,no
RR034B_046_fecRa,ANGB131,feces,0,AngavoBe,-18.944,47.9491,2/14/18,Eidolon dupreanum,female,,no,NL,no
RR034B_047_fecRa,ANGB132,feces,0,AngavoBe,-18.944,47.9491,2/14/18,Eidolon dupreanum,male,,no,A,no
RR034B_048_fecRa,ANGB133,feces,0,AngavoBe,-18.944,47.9491,2/14/18,Eidolon dupreanum,female,1095,no,NL,no
RR034B_049_fecRa,ANGB134,feces,0,AngavoBe,-18.944,47.9491,4/9/18,Eidolon dupreanum,female,1064,no,NL,no
RR034B_050_fecRa,ANGB135,feces,0,AngavoBe,-18.944,47.9491,4/9/18,Eidolon dupreanum,female,1063,no,NL,no
RR034B_051_fecRa,ANGB136,feces,0,AngavoBe,-18.944,47.9491,4/9/18,Eidolon dupreanum,female,1062,no,NL,no
RR034B_052_fecRa,ANGB137,feces,0,AngavoBe,-18.944,47.9491,4/9/18,Eidolon dupreanum,female,1061,no,NL,no
RR034B_053_fecRa,ANGB138,feces,0,AngavoBe,-18.944,47.9491,4/9/18,Eidolon dupreanum,female,1060,no,NL,no
RR034B_054_fecRa,ANGB139,feces,0,AngavoBe,-18.944,47.9491,4/9/18,Eidolon dupreanum,female,1059,no,NL,no
RR034B_055_fecRa,ANGB140,feces,0,AngavoBe,-18.944,47.9491,4/9/18,Eidolon dupreanum,female,1058,no,NL,no
RR034B_056_fecRa,ANGB141,feces,0,AngavoBe,-18.944,47.9491,4/9/18,Eidolon dupreanum,female,1057,no,NL,no
RR034B_057_fecRa,ANGB142,feces,0,AngavoBe,-18.944,47.9491,4/9/18,Eidolon dupreanum,male,1056,no,A,no
RR034B_058_fecRa,ANGB143,feces,0,AngavoBe,-18.944,47.9491,7/27/18,Eidolon dupreanum,female,951,no,NL,no
RR034B_059_fecRa,ANGB144,feces,0,AngavoBe,-18.944,47.9491,7/27/18,Eidolon dupreanum,female,952,no,NL,no
RR034B_060_fecRa,ANGB145,feces,0,AngavoBe,-18.944,47.9491,7/27/18,Eidolon dupreanum,female,953,no,NL,no
RR034B_061_fecRa,ANGB146,feces,0,AngavoBe,-18.944,47.9491,7/27/18,Eidolon dupreanum,male,954,no,J,yes
RR034B_062_fecRa,ANGB147,feces,0,AngavoBe,-18.944,47.9491,7/27/18,Eidolon dupreanum,female,955,no,NL,no
RR034B_063_fecRa,ANGB148,feces,0,AngavoBe,-18.944,47.9491,7/27/18,Eidolon dupreanum,female,956,no,NL,no
RR034B_064_fecRa,ANGB149,feces,0,AngavoBe,-18.944,47.9491,7/27/18,Eidolon dupreanum,female,957,yes,NL,no
RR034B_065_fecRa,ANGB150,feces,0,AngavoBe,-18.944,47.9491,7/27/18,Eidolon dupreanum,female,958,no,NL,no
RR034B_066_fecRa,ANGB151,feces,0,AngavoBe,-18.944,47.9491,7/27/18,Eidolon dupreanum,female,959,no,NL,no
RR034B_067_fecRa,ANGB152,feces,0,AngavoBe,-18.944,47.9491,7/27/18,Eidolon dupreanum,female,960,no,NL,no
RR034B_068_fecRa,ANGB153,feces,0,AngavoBe,-18.944,47.9491,7/27/18,Eidolon dupreanum,female,961,no,NL,no
RR034B_069_fecRa,ANGB154,feces,0,AngavoBe,-18.944,47.9491,7/27/18,Eidolon dupreanum,female,962,no,NL,no
RR034B_070_fecRa,ANGB155,feces,0,AngavoBe,-18.944,47.9491,7/27/18,Eidolon dupreanum,female,963,no,NL,no
RR034B_071_fecRa,ANGB156,feces,0,AngavoBe,-18.944,47.9491,9/9/18,Eidolon dupreanum,male,9.56E+13,yes,A,no
RR034B_072_fecRa,ANGB157,feces,0,AngavoBe,-18.944,47.9491,9/9/18,Eidolon dupreanum,male,1024,yes,A,no
RR034B_073_fecRa,ANGB158,feces,0,AngavoBe,-18.944,47.9491,9/9/18,Eidolon dupreanum,female,1023,no,P,no
RR034B_074_fecRa,ANGB159,feces,0,AngavoBe,-18.944,47.9491,9/9/18,Eidolon dupreanum,female,1022,no,P,no
RR034B_075_fecRa,ANGB160,feces,0,AngavoBe,-18.944,47.9491,9/9/18,Eidolon dupreanum,male,1021,no,A,no
RR034B_076_fecRa,ANGB161,feces,0,AngavoBe,-18.944,47.9491,9/9/18,Eidolon dupreanum,male,1020,yes,A,no
RR034B_078_fecRa,ANGB163,feces,0,AngavoBe,-18.944,47.9491,9/9/18,Eidolon dupreanum,male,1018,no,A,no
RR034B_079_fecRa,KEL148,feces,0,AngavoKely,-18.9327,47.7578,2/15/18,Eidolon dupreanum,male,1093,no,A,no
RR034B_080_fecRa,KEL150,feces,0,AngavoKely,-18.9327,47.7578,2/15/18,Eidolon dupreanum,female,1092,no,NL,no
RR034B_081_fecRa,KEL151,feces,0,AngavoKely,-18.9327,47.7578,2/15/18,Eidolon dupreanum,female,1091,no,NL,no
RR034B_082_fecRa,KEL152,feces,0,AngavoKely,-18.9327,47.7578,2/15/18,Eidolon dupreanum,female,1090,no,NL,no
RR034B_083_fecRa,KEL153,feces,0,AngavoKely,-18.9327,47.7578,2/15/18,Eidolon dupreanum,female,1089,no,NL,no
RR034B_084_fecRa,KEL154,feces,0,AngavoKely,-18.9327,47.7578,2/15/18,Eidolon dupreanum,female,1088,no,NL,no
RR034B_085_fecRa,KEL155,feces,0,AngavoKely,-18.9327,47.7578,2/15/18,Eidolon dupreanum,female,1087,no,NL,no
RR034B_086_fecRa,KEL156,feces,0,AngavoKely,-18.9327,47.7578,2/15/18,Eidolon dupreanum,male,1086_969,yes,A,no
RR034B_087_fecRa,KEL157,feces,0,AngavoKely,-18.9327,47.7578,2/15/18,Eidolon dupreanum,female,1085,no,NL,no
RR034B_088_fecRa,KEL158,feces,0,AngavoKely,-18.9327,47.7578,2/15/18,Eidolon dupreanum,female,1084,no,J,yes
RR034B_089_fecRa,KEL159,feces,0,AngavoKely,-18.9327,47.7578,2/15/18,Eidolon dupreanum,male,1083,no,J,yes
RR034B_090_fecRa,KEL160,feces,0,AngavoKely,-18.9327,47.7578,2/15/18,Eidolon dupreanum,female,1082,no,NL,no
RR034B_091_fecRa,KEL161,feces,0,AngavoKely,-18.9327,47.7578,2/15/18,Eidolon dupreanum,male,1081,no,A,no
RR034B_092_fecRa,KEL162,feces,0,AngavoKely,-18.9327,47.7578,2/15/18,Eidolon dupreanum,female,1080,no,NL,no
RR034B_093_fecRa,KEL163,feces,0,AngavoKely,-18.9327,47.7578,2/15/18,Eidolon dupreanum,female,1079,no,NL,no
RR034B_094_fecRa,KEL164,feces,0,AngavoKely,-18.9327,47.7578,2/15/18,Eidolon dupreanum,female,1078,no,J,yes
RR034B_095_fecRa,KEL165,feces,0,AngavoKely,-18.9327,47.7578,2/15/18,Eidolon dupreanum,female,1077,no,NL,no
RR034B_096_fecRa,KEL166,feces,0,AngavoKely,-18.9327,47.7578,2/15/18,Eidolon dupreanum,female,1075,no,J,yes
RR034B_097_fecRa,KEL167,feces,0,AngavoKely,-18.9327,47.7578,2/15/18,Eidolon dupreanum,female,1074,no,NL,no
RR034B_098_fecRa,KEL168,feces,0,AngavoKely,-18.9327,47.7578,2/15/18,Eidolon dupreanum,female,1073,no,NL,no
RR034B_099_fecRa,KEL169,feces,0,AngavoKely,-18.9327,47.7578,2/15/18,Eidolon dupreanum,male,1072,no,J,yes
RR034B_100_fecRa,KEL170,feces,0,AngavoKely,-18.9327,47.7578,2/15/18,Eidolon dupreanum,female,1070,no,NL,no
RR034B_101_fecRa,KEL171,feces,0,AngavoKely,-18.9327,47.7578,2/15/18,Eidolon dupreanum,male,1071,no,J,yes
RR034B_102_fecRa,KEL172,feces,0,AngavoKely,-18.9327,47.7578,2/15/18,Eidolon dupreanum,female,,no,NL,no
RR034B_103_fecRa,KEL173,feces,0,AngavoKely,-18.9327,47.7578,2/15/18,Eidolon dupreanum,female,,no,NL,no
RR034B_104_fecRa,KEL174,feces,0,AngavoKely,-18.9327,47.7578,2/16/18,Eidolon dupreanum,female,1069,no,NL,no
RR034B_105_fecRa,KEL175,feces,0,AngavoKely,-18.9327,47.7578,2/16/18,Eidolon dupreanum,female,1068,no,NL,no
RR034B_106_fecRa,KEL176,feces,0,AngavoKely,-18.9327,47.7578,2/16/18,Eidolon dupreanum,female,1067,yes,NL,no
RR034B_108_fecRa,KEL178,feces,0,AngavoKely,-18.9327,47.7578,2/16/18,Eidolon dupreanum,female,1065,no,NL,no
RR034B_109_fecRa,KEL179,feces,0,AngavoKely,-18.9327,47.7578,2/16/18,Eidolon dupreanum,male,9.56E+14,yes,A,no
RR034B_110_fecRa,KEL180,feces,0,AngavoKely,-18.9327,47.7578,4/9/18,Eidolon dupreanum,female,1055,no,NL,no
RR034B_111_fecRa,KEL181,feces,0,AngavoKely,-18.9327,47.7578,4/9/18,Eidolon dupreanum,male,1054,no,A,no
RR034B_112_fecRa,KEL182,feces,0,AngavoKely,-18.9327,47.7578,4/9/18,Eidolon dupreanum,female,1053,no,NL,no
RR034B_506_uaRa,KEL234,urine,0,AngavoKely,-18.9327,47.7578,7/27/18,Eidolon dupreanum,male,985,no,A,no
RR034B_352_uaRa,KEL184,urine,0,AngavoKely,-18.9327,47.7578,4/9/18,Eidolon dupreanum,female,1050,no,NL,no
RR034B_115_fecRa,KEL185,feces,0,AngavoKely,-18.9327,47.7578,4/10/18,Eidolon dupreanum,female,1049,no,NL,no
RR034B_116_fecRa,KEL186,feces,0,AngavoKely,-18.9327,47.7578,4/10/18,Eidolon dupreanum,female,1048,no,NL,no
RR034B_118_fecRa,KEL188,feces,0,AngavoKely,-18.9327,47.7578,4/10/18,Eidolon dupreanum,female,1046,no,NL,no
RR034B_119_fecRa,KEL189,feces,0,AngavoKely,-18.9327,47.7578,4/10/18,Eidolon dupreanum,female,244,yes,NL,no
RR034B_120_fecRa,KEL190,feces,0,AngavoKely,-18.9327,47.7578,4/10/18,Eidolon dupreanum,female,1045,no,NL,no
RR034B_121_fecRa,KEL191,feces,0,AngavoKely,-18.9327,47.7578,4/10/18,Eidolon dupreanum,female,1044,no,NL,no
RR034B_122_fecRa,KEL192,feces,0,AngavoKely,-18.9327,47.7578,4/10/18,Eidolon dupreanum,female,1043,no,NL,no
RR034B_123_fecRa,KEL193,feces,0,AngavoKely,-18.9327,47.7578,4/10/18,Eidolon dupreanum,female,1042,no,J,yes
RR034B_124_fecRa,KEL194,feces,0,AngavoKely,-18.9327,47.7578,4/10/18,Eidolon dupreanum,female,1041,no,NL,no
RR034B_125_fecRa,KEL195,feces,0,AngavoKely,-18.9327,47.7578,4/10/18,Eidolon dupreanum,male,9.56E+14,yes,A,no
RR034B_126_fecRa,KEL196,feces,0,AngavoKely,-18.9327,47.7578,4/10/18,Eidolon dupreanum,female,1040,no,NL,no
RR034B_127_fecRa,KEL197,feces,0,AngavoKely,-18.9327,47.7578,4/10/18,Eidolon dupreanum,female,1039,no,NL,no
RR034B_128_fecRa,KEL198,feces,0,AngavoKely,-18.9327,47.7578,4/10/18,Eidolon dupreanum,male,9.56E+14,yes,A,no
RR034B_129_fecRa,KEL199,feces,0,AngavoKely,-18.9327,47.7578,4/10/18,Eidolon dupreanum,female,1037,no,NL,no
RR034B_131_fecRa,KEL201,feces,0,AngavoKely,-18.9327,47.7578,4/10/18,Eidolon dupreanum,female,1035,no,NL,no
RR034B_132_fecRa,KEL202,feces,0,AngavoKely,-18.9327,47.7578,4/10/18,Eidolon dupreanum,female,1034,no,NL,no
RR034B_133_fecRa,KEL203,feces,0,AngavoKely,-18.9327,47.7578,4/10/18,Eidolon dupreanum,female,1033,no,NL,no
RR034B_134_fecRa,KEL204,feces,0,AngavoKely,-18.9327,47.7578,4/10/18,Eidolon dupreanum,female,1032,yes,NL,no
RR034B_135_fecRa,KEL205,feces,0,AngavoKely,-18.9327,47.7578,4/10/18,Eidolon dupreanum,female,1031,no,NL,no
RR034B_136_fecRa,KEL206,feces,0,AngavoKely,-18.9327,47.7578,4/10/18,Eidolon dupreanum,female,1030,yes,J,yes
RR034B_137_fecRa,KEL207,feces,0,AngavoKely,-18.9327,47.7578,4/10/18,Eidolon dupreanum,female,1029,no,NL,no
RR034B_138_fecRa,KEL208,feces,0,AngavoKely,-18.9327,47.7578,4/10/18,Eidolon dupreanum,female,799,yes,NL,no
RR034B_139_fecRa,KEL209,feces,0,AngavoKely,-18.9327,47.7578,4/10/18,Eidolon dupreanum,female,1028,no,NL,no
RR034B_140_fecRa,KEL210,feces,0,AngavoKely,-18.9327,47.7578,4/10/18,Eidolon dupreanum,female,1027,no,NL,no
RR034B_141_fecRa,KEL211,feces,0,AngavoKely,-18.9327,47.7578,4/10/18,Eidolon dupreanum,female,1026,no,NL,no
RR034B_142_fecRa,KEL212,feces,0,AngavoKely,-18.9327,47.7578,4/10/18,Eidolon dupreanum,female,1025,no,NL,no
RR034B_143_fecRa,KEL213,feces,0,AngavoKely,-18.9327,47.7578,7/27/18,Eidolon dupreanum,male,964_1609,yes,A,no
RR034B_145_fecRa,KEL215,feces,0,AngavoKely,-18.9327,47.7578,7/27/18,Eidolon dupreanum,female,967,no,J,yes
RR034B_146_fecRa,KEL216,feces,0,AngavoKely,-18.9327,47.7578,7/27/18,Eidolon dupreanum,female,968,no,NL,no
RR034B_147_fecRa,KEL217,feces,0,AngavoKely,-18.9327,47.7578,7/27/18,Eidolon dupreanum,male,1086_969,yes,A,no
RR034B_148_fecRa,KEL218,feces,0,AngavoKely,-18.9327,47.7578,7/27/18,Eidolon dupreanum,female,970,no,NL,no
RR034B_149_fecRa,KEL219,feces,0,AngavoKely,-18.9327,47.7578,7/27/18,Eidolon dupreanum,male,971,no,A,no
RR034B_150_fecRa,KEL220,feces,0,AngavoKely,-18.9327,47.7578,7/27/18,Eidolon dupreanum,male,972,no,A,no
RR034B_151_fecRa,KEL221,feces,0,AngavoKely,-18.9327,47.7578,7/27/18,Eidolon dupreanum,male,973,no,J,yes
RR034B_152_fecRa,KEL222,feces,0,AngavoKely,-18.9327,47.7578,7/27/18,Eidolon dupreanum,female,974,no,NL,no
RR034B_153_fecRa,KEL223,feces,0,AngavoKely,-18.9327,47.7578,7/27/18,Eidolon dupreanum,male,975,no,A,no
RR034B_154_fecRa,KEL224,feces,0,AngavoKely,-18.9327,47.7578,7/27/18,Eidolon dupreanum,male,9.56E+14,yes,A,no
RR034B_155_fecRa,KEL225,feces,0,AngavoKely,-18.9327,47.7578,7/27/18,Eidolon dupreanum,male,977,yes,A,no
RR034B_156_fecRa,KEL226,feces,0,AngavoKely,-18.9327,47.7578,7/27/18,Eidolon dupreanum,male,9.56E+14,yes,A,no
RR034B_157_fecRa,KEL227,feces,0,AngavoKely,-18.9327,47.7578,7/27/18,Eidolon dupreanum,female,978,no,NL,no
RR034B_158_fecRa,KEL228,feces,0,AngavoKely,-18.9327,47.7578,7/27/18,Eidolon dupreanum,female,979,no,J,yes
RR034B_159_fecRa,KEL229,feces,0,AngavoKely,-18.9327,47.7578,7/27/18,Eidolon dupreanum,male,980,no,A,no
RR034B_160_fecRa,KEL230,feces,0,AngavoKely,-18.9327,47.7578,7/27/18,Eidolon dupreanum,male,981,yes,A,no
RR034B_161_fecRa,KEL231,feces,0,AngavoKely,-18.9327,47.7578,7/27/18,Eidolon dupreanum,male,9.56E+14,yes,A,no
RR034B_162_fecRa,KEL232,feces,0,AngavoKely,-18.9327,47.7578,7/27/18,Eidolon dupreanum,male,983,no,A,no
RR034B_164_fecRa,KEL234,feces,0,AngavoKely,-18.9327,47.7578,7/27/18,Eidolon dupreanum,male,985,no,A,no
